โครงสร้างและรูปแบบข้อมูล XML  ภงด 50,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Index,Dictionary Entry Name (DEN) ,,,,,,,,<XML Tag>,Description ,Type ,Max Len,Attribute ,,,Rule Guideline,,,
1.6.5.4.1,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no4_Item5.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R26,,,
1.6.5.4.2,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no4_Item5.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R27,,,
1.6.5.4.3,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no4_Item5.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R28,,,
1.6.5.5,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no5_total3To4,,,,<rd:No5_Total3To4>,รวม (3+4) ,Object,,[1…1],R,R,,,,
1.6.5.5.1,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no5_total3To4.exemptionIndicator,,,<rd:ExemptionIndicator>,"ดัชนีกำไร/ขาดทุนกิจการที่ได้รับยกเว้นภาษีเงินได้ 0 = ไม่มีสถานะ, 1 = กำไร, 2 = ขาดทุน",Number,1,[0…1],C,C,PND50_R22,,,
1.6.5.5.2,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no5_total3To4.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R29,,,
1.6.5.5.3,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no5_total3To4.liableIndicator,,,<rd:LiableIndicator>,"ดัชนีกำไร/ขาดทุนกิจการที่ต้องเสียภาษีเงินได้ 0 = ไม่มีสถานะ, 1 = กำไร, 2 = ขาดทุน",Number,1,[0…1],C,C,PND50_R22,,,
1.6.5.5.4,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no5_total3To4.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R30,,,
1.6.5.5.5,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no5_total3To4.totalIndicator,,,<rd:TotalIndicator>,"ดัชนีกำไร/ขาดทุน รวม 0 = ไม่มีสถานะ, 1 = กำไร, 2 = ขาดทุน",Number,1,[0…1],C,C,PND50_R22,,,
1.6.5.5.6,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no5_total3To4.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R31,,,
1.6.5.6,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no6_lessOtherExpenses,,,,<rd:No6_LessOtherExpenses>,หัก รายจ่ายอื่น จะมีค่าก็ต่อเมื่อรายการที่ 6 ข้อ 5 มีข้อมูล,Object,,[0…1],C,C,,,,
1.6.5.6.1,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no6_lessOtherExpenses.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R32,,,
1.6.5.6.2,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no6_lessOtherExpenses.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R33,,,
1.6.5.6.3,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no6_lessOtherExpenses.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R34,,,
1.6.5.7,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no7_total5To6,,,,<rd:No7_Total5To6>,รวม (5-6),Object,,[1…1],R,R,,,,
1.6.5.7.1,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no7_total5To6.exemptionIndicator,,,<rd:ExemptionIndicator>,"ดัชนีกำไร/ขาดทุนกิจการที่ได้รับยกเว้นภาษีเงินได้ 0 = ไม่มีสถานะ, 1 = กำไร, 2 = ขาดทุน",Number,1,[0…1],C,C,PND50_R22,,,
1.6.5.7.2,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no7_total5To6.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R35,,,
1.6.5.7.3,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no7_total5To6.liableIndicator,,,<rd:LiableIndicator>,"ดัชนีกำไร/ขาดทุนกิจการที่ต้องเสียภาษีเงินได้ 0 = ไม่มีสถานะ, 1 = กำไร, 2 = ขาดทุน",Number,1,[0…1],C,C,PND50_R22,,,
1.6.5.7.4,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no7_total5To6.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R36,,,
1.6.5.7.5,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no7_total5To6.totalIndicator,,,<rd:TotalIndicator>,"ดัชนีกำไร/ขาดทุน รวม 0 = ไม่มีสถานะ, 1 = กำไร, 2 = ขาดทุน",Number,1,[0…1],C,C,PND50_R22,,,
1.6.5.7.6,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no7_total5To6.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R37,,,
1.6.5.8,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no8_lessSellingAndAdminExpenses,,,,<rd:No8_LessSellingAndAdminExpenses>,หัก รายจ่ายในการขายหรือบริการ จะมีค่าก็ต่อเมื่อรายการที่ 7 ข้อ 24 มีข้อมูล,Object,,[0…1],,,,,,
1.6.5.8.1,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no8_lessSellingAndAdminExpenses.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R38,,,
1.6.5.8.2,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no8_lessSellingAndAdminExpenses.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R39,,,
1.6.5.8.3,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no8_lessSellingAndAdminExpenses.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R40,,,
1.6.5.9,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no9_netProfitOrLoss,,,,<rd:No9_NetProfitOrLoss>,กำไร/ขาดทุนสุทธิ,Object,,[1…1],R,R,,,,
1.6.5.9.1,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no9_netProfitOrLoss.exemptionIndicator,,,<rd:ExemptionIndicator>,"ดัชนีกำไร/ขาดทุนกิจการที่ได้รับยกเว้นภาษีเงินได้ 0 = ไม่มีสถานะ, 1 = กำไร, 2 = ขาดทุน",Number,1,[0…1],C,C,PND50_R41,,,
1.6.5.9.2,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no9_netProfitOrLoss.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R42,,,
1.6.5.9.3,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no9_netProfitOrLoss.liableIndicator,,,<rd:LiableIndicator>,"ดัชนีกำไร/ขาดทุนกิจการที่ต้องเสียภาษีเงินได้ 0 = ไม่มีสถานะ, 1 = กำไร, 2 = ขาดทุน",Number,1,[0…1],C,C,PND50_R41,,,
1.6.5.9.4,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no9_netProfitOrLoss.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R43,,,
1.6.5.9.5,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no9_netProfitOrLoss.totalIndicator,,,<rd:TotalIndicator>,"ดัชนีกำไร/ขาดทุน รวม 0 = ไม่มีสถานะ, 1 = กำไร, 2 = ขาดทุน",Number,1,[0…1],C,C,PND50_R41,,,
1.6.5.9.6,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no9_netProfitOrLoss.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R44,,,
1.6.5.10,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no10_plusRevenuesUnderTheRevenueCode,,,,<rd:No10_PlusRevenuesUnderTheRevenueCode>,บวก รายได้ที่ให้ถือเป็นรายได้ตามประมวลรัษฎากร,Object,,[0…1],,,,,,
1.6.5.10.1,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no10_plusRevenuesUnderTheRevenueCode.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.5.10.2,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no10_plusRevenuesUnderTheRevenueCode.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.5.10.3,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no10_plusRevenuesUnderTheRevenueCode.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R45,,,
1.6.5.11,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no11_plusExpensesOverTheRevenueCode,,,,<rd:No11_PlusExpensesOverTheRevenueCode>,บวก รายจ่ายที่ไม่ให้ถือเป็นรายจ่ายตามประมวลรัษฎากร  จะมีค่าก็ต่อเมื่อรายการที่ 8 ข้อ 7 มีข้อมูล,Object,,[0…1],C,C,,,,
1.6.5.11.1,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no11_plusExpensesOverTheRevenueCode.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R46,,,
1.6.5.11.2,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no11_plusExpensesOverTheRevenueCode.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R47,,,
1.6.5.11.3,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no11_plusExpensesOverTheRevenueCode.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R48,,,
1.6.5.12,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no12_total9To11,,,,<rd:No12_Total9To11>,รวม (9+10+11),Object,,[1…1],R,R,,,,
1.6.5.12.1,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no12_total9To11.exemptionIndicator,,,<rd:ExemptionIndicator>,"ดัชนีกำไร/ขาดทุนกิจการที่ได้รับยกเว้นภาษีเงินได้ 0 = ไม่มีสถานะ, 1 = กำไร, 2 = ขาดทุน",Number,1,[0…1],C,C,PND50_R41,,,
1.6.5.12.2,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no12_total9To11.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R49,,,
1.6.5.12.3,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no12_total9To11.liableIndicator,,,<rd:LiableIndicator>,"ดัชนีกำไร/ขาดทุนกิจการที่ต้องเสียภาษีเงินได้ 0 = ไม่มีสถานะ, 1 = กำไร, 2 = ขาดทุน",Number,1,[0…1],C,C,PND50_R41,,,
1.6.5.12.4,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no12_total9To11.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R50,,,
1.6.5.12.5,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no12_total9To11.totalIndicator,,,<rd:TotalIndicator>,"ดัชนีกำไร/ขาดทุน รวม 0 = ไม่มีสถานะ, 1 = กำไร, 2 = ขาดทุน",Number,1,[0…1],C,C,PND50_R41,,,
1.6.5.12.6,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no12_total9To11.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R51,,,
1.6.5.13,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no13_lessRevOrExpDeductAtGreaterAmount,,,,<rd:No13_LessRevOrExpDeductAtGreaterAmount>,หัก รายได้ที่ได้รับการยกเว้นภาษีเงินได้หรือรายจ่ายที่มีสิทธิหักได้เพิ่มขึ้น จะมีค่าก็ต่อเมื่อ ใบแนบรายได้ที่ได้รับการยกเว้นภาษีเงินได้หรือรายจ่ายที่มีสิทธิหักได้เพิ่มขึ้น มีข้อมูล,Object,,[0…1],C,C,,,,
1.6.5.13.1,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no13_lessRevOrExpDeductAtGreaterAmount.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R52,,,
1.6.5.13.2,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no13_lessRevOrExpDeductAtGreaterAmount.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R53,,,
1.6.5.13.3,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no13_lessRevOrExpDeductAtGreaterAmount.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R54,,,
1.6.5.14,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no14_total12To13,,,,<rd:No14_Total12To13>,รวม (12-13),Object,,[1…1],R,R,,,,
1.6.5.14.1,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no14_total12To13.exemptionIndicator,,,<rd:ExemptionIndicator>,"ดัชนีกำไร/ขาดทุนกิจการที่ได้รับยกเว้นภาษีเงินได้ 0 = ไม่มีสถานะ, 1 = กำไร, 2 = ขาดทุน",Number,1,[0…1],C,C,PND50_R41,,,
1.6.5.14.2,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no14_total12To13.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R55,,,
1.6.5.14.3,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no14_total12To13.liableIndicator,,,<rd:LiableIndicator>,"ดัชนีกำไร/ขาดทุนกิจการที่ต้องเสียภาษีเงินได้ 0 = ไม่มีสถานะ, 1 = กำไร, 2 = ขาดทุน",Number,1,[0…1],C,C,PND50_R41,,,
1.6.5.14.4,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no14_total12To13.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R56,,,
1.6.5.14.5,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no14_total12To13.totalIndicator,,,<rd:TotalIndicator>,"ดัชนีกำไร/ขาดทุน รวม 0 = ไม่มีสถานะ, 1 = กำไร, 2 = ขาดทุน",Number,1,[0…1],C,C,PND50_R41,,,
1.6.5.14.6,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no14_total12To13.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R57,,,
1.6.5.15,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no15_lessNetLossesDeductByLaw,,,,<rd:No15_LessNetLossesDeductByLaw>,หัก ขาดทุนสุทธิที่มีสิทธินำมาหักตามกฎหมาย จะมีค่าก็ต่อเมื่อ ใบแนบขาดทุนสุทธิปรับปรุงตามประมวลรัษฏากร หรือ รายการที่ 2 ของใบแนบสำหรับกิจการสำนักงานใหญ่ข้ามประเทศ (IHQ) มีข้อมูล,Object,,[0…1],C,C,,,,
1.6.5.15.1,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no15_lessNetLossesDeductByLaw.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R58,,,
1.6.5.15.2,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no15_lessNetLossesDeductByLaw.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R59,,,
1.6.5.15.3,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no15_lessNetLossesDeductByLaw.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R60,,,
1.6.5.16,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no16_total14To15,,,,<rd:Total14To15_16>,รวม (14-15),Object,,[1…1],R,R,,,,
1.6.5.16.1,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no16_total14To15.exemptionIndicator,,,<rd:ExemptionIndicator>,"ดัชนีกำไร/ขาดทุนกิจการที่ได้รับยกเว้นภาษีเงินได้ 0 = ไม่มีสถานะ, 1 = กำไร, 2 = ขาดทุน",Number,1,[0…1],C,C,PND50_R41,,,
1.6.5.16.2,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no16_total14To15.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R61,,,
1.6.5.16.3,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no16_total14To15.liableIndicator,,,<rd:LiableIndicator>,"ดัชนีกำไร/ขาดทุนกิจการที่ต้องเสียภาษีเงินได้ 0 = ไม่มีสถานะ, 1 = กำไร, 2 = ขาดทุน",Number,1,[0…1],C,C,PND50_R41,,,
1.6.5.16.4,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no16_total14To15.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,PND50_R62,,,
1.6.5.16.5,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no16_total14To15.totalIndicator,,,<rd:TotalIndicator>,"ดัชนีกำไร/ขาดทุน รวม 0 = ไม่มีสถานะ, 1 = กำไร, 2 = ขาดทุน",Number,1,[0…1],C,C,PND50_R41,,,
1.6.5.16.6,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.no16_total14To15.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R63,,,
1.6.5.17,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.plusExpExceed10PercentOfNetProfit,,,,<rd:PlusExpExceed10PercentOfNetProfit>,บวก รายจ่ายส่วนที่เกินร้อยละ 10 ของกำไรสุทธิ,Object,,[0…1],,,,,,
1.6.5.17.1,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.plusExpExceed10PercentOfNetProfit.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.5.17.2,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.plusExpExceed10PercentOfNetProfit.liable,,,<rd:Liable>,กิจการที่ต้องเสียภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
1.6.5.17.3,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.plusExpExceed10PercentOfNetProfit.total,,,<rd:Total>,รวม,"Decimal (15, 2)",15,[0…1],C,C,PND50_R64,,,
1.6.5.18,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.plusContributionsToCharities,,,,<rd:PlusContributionsToCharities>,บวก รายจ่ายเพื่อการกุศลสาธารณะส่วนที่เกินร้อยละ 2 ของกำไรสุทธิ,Object,,[0…1],,,,,,
1.6.5.18.1,,,,,,TaxFormDetail.RevenueExpenseAndNetProfitOrLoss.plusContributionsToCharities.exemption,,,<rd:Exemption>,กิจการที่ได้รับยกเว้นภาษีเงินได้,"Decimal (15, 2)",15,[0…1],C,C,,,,
